text,option_1,option_2,option_3,option_4
Could Evolution and Intelligent Design both be right?,Yes.,No.,,
Would you consider dating a person who is a single parent of a 'special needs' child?,Yes.,No.,,
Do you ever feel that your behavior is inconsistent with your own notion of right and wrong?,Yes.,No.,,
Would you ever consider getting plastic surgery if your partner requested you to do so?,Yes.,No.,,
Are you a workaholic?,Yes.,No.,,
"Dwight D. Eisenhower once said that every gun that is made, every warship launched, every rocket fired, signifies in the final sense a theft from those who hunger and are not fed, those who are cold and are not clothed. Do you agree?",Yes.,No.,,
"Would you be willing to engage in mutual masturbation with someone?  You would be pleasing yourself and watching them do the same, but no touching each other.",Yes.,No.,,
Do you think children should be allowed to play with toy guns?,Yes.,No.,,
"When sick, do you prefer the company of others or to be left alone?",I prefer company.,I prefer to be left alone.,,
How would you feel if you knew that an OkCupid user who you have never interacted with printed out a picture from your profile?,Creeped out.,Flattered.,Angry.,Indifferent.
"For people who are in exclusive relationships, is masturbation a form of infidelity?",Yes.,No.,,
"For people who are in exclusive relationships, is fantasizing about others a form of infidelity?",Yes.,No.,,
Do you believe that a major goal of educational systems should be to make people 'better members of society'?,Yes.,No.,,
Do you have names planned out for future children?,Yes.,No.,"No, and I'm not planning on any future children.",
Do you make an effort to appear intimidating to others?,"Yes, always.","No, never.",Sometimes.,
Approximately how many hours per week do you dedicate to spiritual activity?,Zero.,One hour or less.,One to four hours.,More than four hours.
How do you think your sex drive compares to what is typical for other people of your age and gender?,My sex drive is higher than average.,My sex drive is about average.,My sex drive is below average.,I'm insatiable.
"You are in an art museum when a blind man deliberately starts a fire. He becomes separated from his guide dog and they are both wandering among the flames lost and confused. You face this decision, save the dog, save the arsonist or save an artwork.",I'd save the arsonist.,I'd save an artwork.,I'd save the dog.,"To hell with that, I'd just save myself."
"If you were performing oral sex on a partner who accidentally farted, how do you think you would react?",I'd laugh.,I'd be disgusted,I'd think nothing of it.,Oral sex?  I don't think so.
Would you be more tolerant of personality flaws in a partner who is more physically attractive?,Yes.,No.,,
Is it logically inconsistent to support the death penalty but oppose abortion?,Yes.,No.,,
"Imagine that you win an 8-figure lottery (i.e., $10M or more).  Which of the following would be closest to how you would handle the winnings?",Buy all those toys.,Invest for the future.,A balance of the above.,"Give to family, friends, and/or charity."
"If you could do any of the following before meeting someone new (without them knowing), which would you do?",Run a full background check on them.,Obtain copies of all of their mail and email.,Obtain medical records including recent STD exam.,I wouldnt do any of the above.
"When buying groceries, do you usually bring reusable bags to carry your food in?",Yes.,No.,,
Would you date someone who states up front that they will never be willing to go dancing?,Yes.,No.,,
Is owning a distinctive car important to you?,Yes.,No.,,
Do you have any close friends who are more than ten years older or younger than you?,"Yes, they are more than ten years older than I.","Yes, they are more than ten years younger than I.","Yes, both of the above.",No.
"Would you consider dating someone who, prior to meeting you, was regularly using an escort service?",Yes.,No.,,
When would you prefer to settle a disagreement?,Now.,Later.,Never.,
Imagine that your partner does not enjoy performing oral sex and refuses to ever perform it on you. How disappointed would you be?,Extremely disappointed.,Somewhat disappointed.,Slightly disappointed.,Not at all disappointed.
Do you make an effort to keep up with scientific developments that are outside the scope of your profession?,Yes.,No.,,
Do you enjoy visiting libraries?,Yes.,No.,,
Are you ashamed of any of your sexual desires?,Yes.,No.,,
Do scars turn you on?,Yes.,No.,,
"Under the right circumstances, would you allow a partner to lick your anus?",Yes.,No.,,
Do you think that wealthy nations have a responsibility to assist developing nations?,Yes.,No.,,
Is there something you do that you are one of the best in the world at?,Yes.,No.,,
"If you saw a really fantastic magic trick performed, would you want to know the secret behind how it was done?",Yes.,No.,,
Do you think it is okay to open old graves to get more knowledge of ancient cultures and their history?,Yes.,No.,I don't really care.,
"When things start getting serious, would you prefer to move in with them, or have them move in with you?",Me with them.,Them with me.,Neither.,
Do you consider yourself to be photogenic?,Yes.,No.,,
Would you consider dating someone who wears dentures?,Yes.,No.,,
Should young children (from age 2 to 6) be taught the proper words for their body parts instead of learning the 'kid-friendly versions?',Yes.,No.,,
Have you ever had unwanted hair removed by waxing?,Yes.,No.,,
Do you currently grow any of your own food?,Yes.,No.,,
Do you own any sexy underwear?,Yes.,No.,,
"When in social situations with a significant other, would you feel it is necessary to somehow signal to others that you are a couple?",Yes.,No.,,
Would you ever consider having sex in a church?,Yes.,No.,,
Should children be taught self defense?,Yes.,No.,,
"Toilet Seat, up or down?",Up.,Down.,Whatever my partner wishes.,Either is fine with me.
"If you could use your internet service for only one of the following, which would you choose?",Playing online games.,Communicating.,Surfing the web for information.,Porn.
"Imagine that you come home to find a partner pouring red wine all over a stranger's naked body and then licking it off.  Which, if any of the following, would bother you most?",The spilled wine.,The cheating.,The fact that I was not invited to join in.,"Actually, this would not bother me."
Imagine you're at an art gallery and you see a canvas painted solid red.  It is selling for more money than you make in a year.  Which of the following would be closest to your reaction?,I'd like to know more about its meaning.,The price is outrageous.,I could have painted that myself.,It's really pleasing to look at.
"Wearing your nation's flag on your clothing (t-shirt, lapel pin, on your backpack ect.) is:",A fine way to show national pride.,Ridiculous/Tacky.,"Its ok, but not for me.",A poor substitute for true patriotism.
Do you usually carry a concealed weapon other than a gun?,Yes.,No.,,
"If you had to live through an entire year of either darkness or daylight, which would you chose?",Darkness.,Daylight.,,
"When, if at all, should a child adopted at birth be told that s/he was adopted?",From the very beginning/a very early age.,Once s/he is old enough to understand/ask.,"Only if unavoidable (e.g., different skin color).","Ideally, never."
"Generally, do you think that it is possible to be civil with people, even if there is dislike, disagreement or animosity present?",Yes.,No.,,
How important to you is a potential match's sense of humor?,Very important.,Somewhat important.,Not important.,
"In a relationship, who do you prefer to be taller?",I like to be taller.,I like my partner to be taller.,I like us to be about the same height.,It doesn't matter to me.
Which is closest to your reaction to foul language?,It doesn't bother me at all.,It's ok as long as it isn't every other word.,It bothers me a little.,It bothers me a lot.
"If you were in your last moments of life after a traffic accident, and someone from another faith was holding your hand attempting to comfort you in your last moments, what would your thoughts be about that?",I would take comfort.,I would be offended.,I would be indifferent.,Other thoughts would take precedence.
"During a romantic evening at your significant others' house, he or she puts on a slow song and asks you to dance. How would you respond?",Very romantic! I'm up for it!,"I think its corny, but I'll do it anyway!",Not my kinda thing.,I'm not sure.
What do you think of the government using cameras for surveillance in public areas?,I'm opposed to it.,I'm for it.,I'm unsure / undecided.,I don't care.
Do you like to burn incense in your home?,Yes.,No.,I've never burnt incense in my home before.,
How many pillows do you sleep with at night?,None.,One.,Two.,Three or more.
How important is it that incoming messages on OkCupid come from people who have a high match percentage with you?,Very important.,Somewhat important.,Not at all important.,
Do you have any health issues that prevent you from eating spicy foods?,Yes.,No.,,
What is your opinion of couples who frequently say 'I love you' to one another?,It's sweet.,It's annoying.,I'm indifferent to this.,
Suppose you're dating someone who seems to have long-term potential. You discover that they want to urinate on you during sex. Would you consider staying with this person?,Yes.,No.,,
How important to you is being with family during holidays?,Very important.,Somewhat important.,Not important.,I have no family.
What kind of education did you have growing up?,Private school.,Public school.,Home school.,Some combination of the above.
How would you react if someone IM'd you and quickly started talking about sex?,Positively.,Negatively.,Indifferently.,
"If a police officer is found guilty of a crime, do you believe the punishment should be more or less severe than for the average citizen?",More severe.,Less severe.,Equally severe.,
Would it bother you if your partner kept pictures of previous partner(s)?,Yes.,No.,,
"If you were to receive one month's salary as a gift, which of the following would come to mind first?",Save it.,Spend it.,Pay off debt.,
Would you like to go birdwatching with your partner?,Yes.,No.,I'm not sure.,
Would you enjoy going fishing with your partner?,Yes.,No.,,
"If you started getting serious with someone you met on OkCupid, would you feel comfortable telling your family and friends where you met?",Yes.,No.,,
What level of trust do you think you should have for a complete stranger?,High.,Medium.,Low.,Zero.
Could you fall in love with someone you have only talked to online?,Yes.,No.,,
"If while visiting a friend's house, you notice a painting hanging slightly off kilter.  Do you adjust it?",Yes.,No.,,
"After dating someone for a while, you finally get to see where they live. He/she leaves you alone to go take a quick shower. Would you snoop?",Yes.,No.,,
Would you honestly answer any question concerning your sexual history that a partner might ask?,Yes.,No.,,
"If someone identifies as a feminist, does that raise or lower your opinion of them?",It raises my opinion.,It lowers my opinion.,It has no effect on my opinion.,
"If you hooked up with someone and a pregnancy unexpectedly resulted, would you feel that you should get married?",Yes.,No.,,
Are you a collector of things?,"Yes, I have many collections.","Yes, I have some collections.","Yes, I have one collection.","No, I do not collect anything."
Can you remember the names of everyone you've ever had sex with?,Yes.,No.,I've never had sex with anyone.,
How important would it be for you to have a work schedule that is similar to your partner's work schedule?,Very important.,Somewhat important.,Not at all important.,
"If a partner would not respond to your emotional needs unless you made them known verbally, would you have a problem with this?",Yes.,No.,,
Do you believe that heterosexual pornography is degrading to women?,Yes.,No.,Some is - Some isn't.,I'm not sure.
Should public masturbation be considered a crime?,Yes.,No.,,
"Other things being equal, would you be more attracted to an artist or a scientist?",Artist,Scientist,,
Do you like large dogs?,Yes.,No.,,
Pick the lowest of the following distances between you and a partner that would satisfy your personal definition of a 'long-distance relationship'.,10 miles (16 km).,50 miles (80 km).,100 miles (160 km).,300 miles (480 km) or more.
Which is worse:  Obesity or anorexia?,Obesity.,Anorexia.,Both are equally bad.,Neither is bad.
Do you make regular backups of your important computer data?,Yes.,No.,,
"On your first visit to a friend's home, which would bother you more, the open display of a religious altar or of a porn library?",The altar.,The porn library.,Neither would bother me at all.,
"Would you enjoy gambling with a group of friends in a game where the stakes are the clothes you have on?  Just to be clear, losing means taking your clothes off in front of your friends.",Yes.,No.,I don't know.,
Imagine that it's your first date with someone you are very interested in.  Which of the following works best for you?,I'd meet them at a mutually decided location.,I'd have them pick me up at my place.,I'd pick them up at their place.,It doesn't matter.
"You are interested in someone, and you discover that they were a nerd in high school.  How does this affect your opinion of them?",Favorably.,Unfavorably.,It makes no difference.,
"Of the following, which do you spend the most time doing while taking a bath or shower?",Washing and/or conditioning.,Shaving.,Relaxing.,Masturbating.
Do you have a survival kit prepared just in case a disaster occurs and normal services are disrupted for an extended period of time?,Yes.,No.,,
Do you enjoy improvisational comedy?,Yes.,No.,,
"Imagine your coworker has a fantastic idea that should make huge profits for your company.  He has shared his idea only with you. Just before presenting it, he is fired by the company.  Which of the following is closest to how you would react?","I'd present it for him, giving him the credit.",I'd present the idea to the company as my own.,I'd quit and help him take the idea elsewhere.,Go it alone. Take the idea and profits for myself.
Have you ever randomly followed a stranger because you found them attractive?,Yes.,No.,,
Imagine that you have to move somewhere far away. You'll need to pack all of your stuff and take it with you. All your things could fit nicely inside...,a couple of suitcases.,a car.,a big moving truck.,the Black Sea.
Have you ever lived outside the country of your citizenship for a single period that exceeds three months?,Yes.,No.,,
"Would you have sex with someone, if you were blindfolded and would never know who it was, only that it would be someone you had never met before?",Yes.,No.,,
People should not have children unless they are financially secure.  Do you agree?,Yes.,No.,,
Would you ever use paper plates just to avoid doing dishes?,Yes.,No.,,
"When you're alone, do you talk to yourself out loud?","Yes, always.","Yes, sometimes.","Yes, but only rarely.","No, never."
"Have you ever stayed up all night, until dawn, talking with someone you have just met?",Yes.,No.,,
Have you ever traded a lover sexual favors for something you wanted?,Yes.,No.,,
Would you consider dating someone who is completely nocturnal?,Yes.,No.,,
A distant family member dies suddenly and unexpectedly.  The funeral is scheduled for the same time you have plans for a first date that you are really excited about. Which would you do?,Try to reschedule the date.,Try to reschedule the funeral.,Go on the date and skip the funeral.,Take the date to the funeral.
"After a sexual encounter, would you ever tell your partner that they were 'the best you'd ever had' if it was not true?",Yes.,No.,,
Your cell phone rings while you are having a conversation with a friend.  You:,Take the call.,Ignore the call.,See who's calling and decide if you'll answer.,I don't have a cell phone.
Do you like to leave music on while you sleep?,Yes.  I can't sleep without it.,"Yes, but I don't need it to fall asleep.","No, but I can deal with it if my partner does.",No.  I can't sleep with music on.
To know nothing of what happened before you were born is to remain forever a child.'  Do you agree?,Yes.,No.,,
Do you like to watch the Olympic Games?,"Yes, as much as possible.","No, they do not interest me.",I only watch certain events.,I only watch athletes from my country.
Which best describes the ideal indoor temperature for you?,Below 70F (21C),70-75F (21-24C),76-80F (25-27C),Above 80F (27C)
"If someone described themselves as 'just an average guy/gal', how would this most likely affect your opinion of them?",Positively.,Negatively.,It would depend on other factors.,
Do you have a living will?,Yes.,No.,,
Which of the following four statements best sums up how you feel about religion / faith when it comes to relationships?,"I have a faith, I wish my partner to have one also","I have a faith, I don't mind if my partner doesn't","I don't have a faith, neither should my partner","I don't have a faith, I don't mind about my partne"
"If your partner needed lovemaking to always be gentle, would you be fine with this?",Yes.,No.,,
Do you think it is a good idea for a single person to try to create or adopt a child and raise it on his or her own?,Yes.,No.,,
"Have you ever considered taking some sort of official position (i.e., clergy) in an organized religion?",Yes.,No.,,
"Would you consider inviting someone to bed with you for clearly-stated non-sexual purposes (e.g., cuddle and sleep only) on a first date?",Yes.,No.,,
Do you enjoy keeping up to date with the latest technology news?,Yes.,No.,,
"Who is more annoying, the person who talks too much or the person who doesn't talk enough?",The person who talks too much.,The person who doesn't talk enough.,,
Do you consider yourself one of the 3 below,Top,Bottom,Switch,I have no idea what those words mean
Imagine you are on a first date and accidentally discover your date is packing condoms.  Which would be closest to your reaction?,I'd tease them about it.,"I'd acknowledge it, but politely.",I'd pretend I didn't see it.,I'd end the date.
Have you ever had a precognitive dream?,Yes.,No.,,
Would speaking in front of a large group make you nervous?,Yes.,No.,,
Do you think you have what it takes to be a successful actor or actress?,Yes.,No.,,
Did you ever receive any sort of non-athletic award during your years in school?,Yes.,No.,,
"When it comes to travel, which do you prefer, trains, planes, or automobiles?",Trains.,Planes.,Automobiles.,I don't have a favorite.
Do you consider the act of leaving cigarette butts on the ground to be littering?,Yes.,No.,,
Which of the following character flaws would you be LEAST tolerant of in a potential partner?,Moodiness.,Dependency.,Jealousy.,Apathy.
What size do you prefer your potential partner to be?,Slim / Slender,Average,A Few Extra Pounds,Weight doesn't matter to me
Do you believe that Jesus died and was raised from the dead?,Yes,No,,
"If you were in a BDSM relationship, would you prefer to be...",The Master,The slave,The Switch (Can play either role),
Would you buy cigarettes for a fifteen year old who asked you to?,Yes.,No.,,
How would you describe your religious life?,"fundamentalist Christian, bible is literal","Christian, parables aren't literal, so Bible isn't","I am atheist, agnostic, or non-religious",I have a non-Christian faith
Which of the following could you most easily live without for an entire month?,Toothbrush and toothpaste.,Phone.,Internet.,Porn.
"For you, would getting amnesia be a good thing?",Yes.,No.,,
Can a person who is into kinky sex still have a good soul?,Sure,Probably not/No,I'm Not Sure,I don't believe in souls
Have you ever tracked someone down just to apologize for something that you did years before?,Yes.,No.,,
"Which are you better at remembering, names or faces?",Names.,Faces.,,
"If all of the professional sports leagues in the world ceased to exist, would you be upset?",Yes.,No.,,
Could you be with someone who would really rather die than get old?,Yes.,No.,,
How many digits of pi do you know?,Mmmm...Pie...,"3.14, right?",I know 3 or 4 digits beyond the decimal.,I know 5 or more digits beyond the decimal.
Do you have any interest in collecting coins?,"Yes, I buy and/or sell collectible coins.","Yes, I regularly check my change for rarities.","Yes, I'm attached to a few coins.",No.
"Which of the following persona, in other people, do you admire the most?","Child at Heart, responsible when needed.","Dedicated, driven to succeed one task at a time.","Spontaneous, living by their own will and order.","Devout, given themselves to higher orders."
Do you believe that it is possible for two previously platonic friends to start having casual sex without affecting other aspects of their relationship?,Yes.,No.,,
Would you like to play naked Twister with a group of people?,Yes.,No.,,
"Beauty is power.  Power corrupts people.  Therefore, beautiful people are corrupt.",I completely agree.,I agree to some extent.,I completely disagree.,
How often do you have trouble sleeping at night?,Always.,Frequently.,Rarely.,Never.
Would you be willing to use deadly force to prevent an unwarranted search of your home by government officials?,Yes.,No.,,
"Typically, what kind of fan are you at sporting events?",I sit quietly and enjoy the game.,I cheer loudly to rally my team and fans.,I yell obsenities at the other team and fans.,I'm not a sports fan.
"Would you consider a serious long-term relationship with someone who insists on living alone, permanently?",Yes.,No.,,
How would you feel if someone called you 'good girl' or 'good boy' during sex?,Positive.,Negative.,Indifferent.,It would depend on which of the two I was called.
"Hypothetically, would you love and support your significant other's children the same way you would love and support your own?",Yes.,No.,It would depend on the circumstances.,
Have you ever purposely pretended to be ignorant about something you have knowledge of because you wanted to hear someone else explain it?,Yes.,No.,,
"If all the commercial food sources in the world closed down, how would you provide for yourself and or family?",I'd hunt and / or fish.,I'd have a garden.,I'd do both of the above.,I'd do neither.  I'd prefer to starve.
"If you found out the person you're dating cannot achieve orgasm without being slapped hard across the face, would you be willing to satisfy them in this way?",Yes.,No.,,
"Imagine you've been dating someone.  After a year, they explain to you for the first time that they can see ghosts/spirits.  How would you react?",I'd immediately terminate the relationship.,I'd be excited about the possibilities.,I'd encourage a psychiatric evaluation.,"I'd compare notes because I can see them, too."
Imagine that someone has wronged you in a way that will go unpunished by anyone but you. What would you do?,I'd take an eye for an eye.,Eye for an eye? I'd take their whole damn head.,Nothing. I'd let it go.,"Nothing, but I'd still hold a grudge."
You've won a free car in a contest!  The taxes and insurance have all been paid.  Which type of car would you like to have won?,An SUV or pickup truck.,A sports car.,A luxury car.,A fuel efficient car.
Imagine you're low on money and behind on the rent.  An unattractive person offers to help you financially in exchange for sex.  Would you?,"Yes.  In fact, I'd even do it if I wasn't behind.","Yes, but only if there is no other way.","No, I'd rather be homeless.",
Are you looking for a partner to have children with?,Yes,No,,
Do you like going to amusement parks?,Yes.,No.,,
Have you ever purchased a math textbook purely for your own enjoyment?,Yes.,No.,,
A first date has gone relatively well so far.  You discover that your date has absolutely no awareness of any significant current affairs from the last month. How might this make you feel?,Disappointed.,Indifferent.,Pleased.,
Do you own any cookbooks?,Yes.,No.,,
You discover that a partner has a huge amount of financial debt and has been hiding it from you. Which is closest to how you would react?,Dump them for dishonesty.,Dump them for financial reasons.,"Stay with them, but their debt is their problem.","Stay with them, and offer to help pay their debt."
"You go to watch a movie at the cinema with a date. About half way through he/she becomes obviously bored with it, but you are really enjoying it and want to see the ending. What do you do?",Continue watching the movie.,Ask the date if they'd like to leave.,Insist on leaving.,
Would you rather have extreme wealth for yourself or provide every homeless person in the world a home?,Insane wealth for me.,Homes for everyone.,,
"When it comes to travel, which do you enjoy more?",The journey.,The destination.,Both.,Neither.
Can you be single and truly happy at the same time?,Yes.,No.,,
How often do you smoke cigars?,Frequently.,Occasionally.,Never.,
Have you ever seriously questioned your sexuality and whether it was different from what you first assumed?,"Yes, and it changed.","Yes, but it did not change.",No.,
Would you consider dating someone who has no interest in sex and experiences no sexual attraction to either gender if they were otherwise perfect?,Yes.,No.,,
"Would you be interested in playing a board game or card game with a partner with the condition that whatever the winner says, in terms of sex, the loser does?",Yes.,No.,"Maybe, with certain limitations.",
"If your partner shared their darkest secret with you and you eventually break up, would you tell other people this secret?",Yes.,No.,It would depend upon the nature of the break up.,
"Imagine you are terminally ill and your only chance to live is an immediate organ transplant. You discover that the only available organ was taken from an unwilling 'donor'.  Assuming the organ was already stolen, would you accept it?",Yes.,No.,,
Would you consent to carry a device that tracked your location in real time so that your significant other could locate your position any time they wanted?,Yes.,No.,,
Choose a romantic three day weekend with your significant other.,A fancy hotel.,A road trip to visit friends.,A camping trip.,Let's stay at home.
Is text messaging an acceptable way to ask someone out on a date?,"Yes, it's a great way.","Yes, but it's pretty lame.",No.,
How do you unwrap gifts?,I tear 'em to shreads.,I neatly unwrap them.,,
Imagine you have a newborn child whose sex cannot be determined.  A risk-free surgery performed immediately could provide normal male or female sexual and reproductive function.  Which would you choose?,Perform the male surgery.,Perform the female surgery.,"Perform the surgery, selecting randomly.",Do not perform the surgery.
Would you consider dating a cannibal?,Yes.,No.,,
Would you consider dating someone who uses profanity more than not in everyday speech?,Yes.,No.,,
Have you ever had sex with a person within the first hour of meeting them?,Yes.,No.,,
"Assuming one existed whom you found sufficiently attractive, would you consider dating your cousin?",No.,"Yes, but third cousin or more distant only.","Yes, I'd go as close as a second cousin.","Yes.  In fact, I'd even date a first cousin."
Have you learned more about what you like sexually through long-lasting committed relationships or through casual intimacy with different people?,Long lasting committed relationships.,Casual intimacy with different people.,I'm not sexually experienced.,
Would you swim in a natural body of water without being able to see or touch the bottom?,Yes.,No.,I can't swim.,
Where would you prefer to sit on an airplane?,Aisle seat.,Window seat.,Middle seat.,In the cockpit.
Would you mind if your significant other fantasizes about other people while having sex with you?,Yes.,No.,"Maybe, it depends on who they are thinking about.",
"In general, people who use long, multisyllablic words when short, simple ones would do just as well are more ...",Pretentious and annoying.,Eloquent and attractive.,,
Do you chew tobacco?,Yes.,No.,,
Do you look up lyrics on the internet for songs that you like?,Often.,Sometimes.,Seldom.,Never.
"If a significant other decided s/he wanted to have or adopt six children with you, would this be okay?",Yes.,No.,"Possibly, depending on the situation.",
"Looking toward the future, which of the following do you see as most important for you in ten years?",Being in a good relationship.,Having a good job.,Being wealthy.,Being healthy.
"If you made a bright orange bowel movement that had glowing purple pokadots, would you tell your partner about it?",Yes.,No.,,
Have you ever hit a significant other in anger?,Yes.,No.,,
"If a partner asked you to have sex in a sex shop booth with others watching, would you?",Yes.,No.,Maybe.,
Would you date someone who has cold-sores (oral herpes)?,Yes.,No.,,
"Which is more important to you, reality or fantasy?",Reality.,Fantasy.,,
"If you were going to have a daughter, which sexual orientation would you hope she would have?",Lesbian.,Straight.,Bisexual.,It wouldn't matter to me at all.
Do you believe that the global flood (Noah's ark) actually happened?,Yes.,No.,,
How would you feel if a new dating partner believed that bizarre events are more likely to occur during a full moon?,I agree with them about such occurrences.,"Maybe it's true, maybe they're just coincidences.","I don't mind, it's just a harmless superstition.",I'd be annoyed by their irrational thinking.
"If OkCupid allowed full nudity in user pictures, would you be more or less likely to communicate with people who upload nude images of themselves?",More likely.,It would make no difference.,Less likely.,
Does SCUBA diving interest you?,"Yes, and I am a diver.","Yes, but I am not a diver.","No, but I used to dive.","No, and I don't want to dive."
"If you had a sexual fantasy that you know your partner is turned off by, would you bring it up anyway or keep it to yourself?",I'd bring it up anyway.,I'd keep it to myself.,,
"You are unloading the dishwasher. You remove an item that seems entirely clean, except for one long hair caked to the surface of it. What do you do?",Wash the item by hand.,Put the item back in the dishwasher.,Scrape the hair off and put the item away.,Leave the hair there and put the item away.
"Of the following, which is your preferred method for expressing love to a partner?",Physical touch.,"Talking, words of affirmation.",Gifts and meaningful gestures.,Acts of service/devotion.
"In general, how relaxed are you on a first date?",First dates make me nervous.,Maybe a few butterflies.,No worries.,
Would being in the same room with a couple of friends who are having sex bother you?,Yes.,No.,,
Do you use hand sanitizer?,Yes.,No.,,
"When you first talk online with someone, which of the following would you prefer to talk about?",Sex.,Politics or current events.,Activities.,Personal history or experiences.
"If given the choice of a lifelong relationship with someone you would love but never have a lustful 'spark' for or a few years of intense passion with someone you would love intensely, which would you choose?",A lifetime in a comfortable relationship.,A few years of intense love.,,
Has anyone ever pressured you to marry them and failed?,Yes.,No.,,
Are you smarter than the majority of people on this planet?,Yes.,No.,,
"When taking a cab, do you like talking to the driver?",Yes.,No.,I'm not sure.,
Did a parent or guardian ever actually wash your mouth out with soap?,Yes.,No.,,
Do you like to listen to audiobooks?,Yes.,No.,I've never tried them.,
"If you had your own private hot tub, would you go nude in it?","Yes, always.","Yes, but only when alone or with someone special.","Yes, but only when alone.","No, never."
Do you like coffee?,Yes.  I need it to function.,"Yes, but I can do without it.",No.,
When is it most appropriate for a transgender person to reveal their transgender status to a match?,It should be clearly stated in their profile.,During messaging prior to meeting in person.,Prior to having intimate contact or sex.,Never.
Are you living a life that is in harmony with your beliefs?,"Yes, completely.","Yes, to some extent.","No, not at all.",
"Assuming a given situation is truly hopeless, is it better to accept hopelessness or maintain hope?",Accept hopelessness.,Maintain hope.,,
Would you consider dating someone who restricts their diet based on religious beliefs?,"Yes, to each their own.","Yes, but only if consistent with my beliefs.",No.,
"If you were married and your spouse was deformed in a car accident or fire, would you stay with them?",Yes.,No.,I don't know.,
"If I had to choose among the following for an ideal romantic partner, I'd choose:",Someone attractive and kind.,Someone smart and kind.,Someone attractive and smart.,
Do you think OkCupid should add a spot for weight in user profiles?,Yes.,No.,,
Have you ever brought a stray animal home?,Yes.,No.,,
Is it possible for you to like someone whom you don't respect?,Yes.,No.,,
Do you feel that voting in all elections should be required by law?,Yes.,No.,,
"If your significant other has not reached the same educational level as you, is this a turn off?",Yes.,No.,,
Which of the following broad gender descriptions are you most attracted to?,Femininity.,Masculinity.,Androgeny.,No preference.
"Are you a 'regular' at any bar, coffee shop or restaurant?",Yes.,No.,,
"Would you consider dating someone who suffers from some sort of sexual dysfunction, but who still enjoys other sorts of sexual activity using hands/mouth/whatever?",Yes.,No.,"Possibly, depending on the specifics.",
Would you consider dating someone who has been divorced more than once?,Yes.,No.,,
"Would you be comfortable being a step mom or dad, if you thought the person you're dating was marriage worthy at this time?",Yes.,No.,"Maybe, depending on the children.",
Should convicted child molesters have to put up signs in their yards saying what they did?,Yes.,No.,,
"Imagine a child is in hospital and needs life-saving treatment, but the child's parents withold permission for the treatment for reasons based on their faith. Which do you think is better?",The parents wishes must be respected.,The state should intervene to save the child.,,
"Would you be interested in visiting an Intelligent-Design theme park, where dinosaurs and humans are portrayed as having coexisted?",Yes.,No.,,
Imagine that your government asks every single citizen to provide a DNA sample to be archived.  Would you support this?,Yes.,No.,,
"If you found out that your partner had lied to you about something significant in their life, would that be grounds to terminate the relationship?",Yes.,No.,,
"If your partner made a lot of noise while enjoying sex, would this be a turn-on or turn-off for you?",Turn on.,Turn off.,"Either, depending upon how they sound.",It would make no difference.
"If you had to choose between spending a weekend hiking and camping or going to Broadway shows with the same friends, which would you choose?",Camping.,Broadway.,I would be happy with either.,I would rather stay home.
"Imagine you are in a relationship that makes you very happy. Suddenly, your partner decides to go work on the other side of the planet for a humanitarian organization for the next twelve months.  Which would be closest your reaction?","I'd go too, because the relationship is important.","I'd go, because humanitarian work is important.","I'd stay, and wait for their return.",I'd end the relationship.
"If it were legal to do so, would you ever consider paying for sex?",Yes.,No.,,
"Do you think head games are unavoidable, even in the healthiest of relationships?",Yes.,No.,,
Should a limit be placed on how many children a family can have?,Yes.,No.,,
Which pubic hair style do you prefer for a partner?,Natural.,Neatly trimmed.,Completely shaven.,It doesn't matter.
"While evaluating someone you are dating, do you find yourself placing much importance on how good of a parent you think they'll make?",Yes.,No.,Just a little.,
How important is it to you that a potential partner continues to educate himself/herself as an adult?,Very important.,Somewhat important.,Not at all important.,"Actually, this would be a turn-off."
Would you consider living with a partner who does not want any pets?,Yes.,No.,,
"If a method were available that would cause the extinction of all mosquitoes on Earth, should it be used?",Yes.,No.,,
"If everyone on Earth stopped drinking alcohol, would this make the world a better place?",Yes.,No.,I'm not sure.,
Do you like the idea of living alone?,Yes.,No.,,
"If you were forced to choose between saving the life of a beloved household pet or saving the life of a human stranger, which would you save?",My pet.,The stranger.,I'd let them both die before choosing.,
Have you ever lead someone on romantically just for fun?,Yes.,No.,,
Do you know how to swim?,Yes,No,I am a swimmer,
Would you ever consider a relationship where you would take on an exclusive sexual role as master or slave?,"Yes, as the master only.","Yes, as the slave only.","Yes, as the master or the slave.",No.
Would you prefer to be taken care of in a relationship or do the caring for?,I prefer to be the one taking care of my partner.,I prefer that my partner take care of me.,I prefer that we take care of each other.,I prefer that we care for ourselves.
Do you enjoy taking pictures of yourself?,Yes.,No.,I'm not sure.,
You have plans to go on a special getaway with your partner tomorrow. Your boss has just told you that a client is very upset and requests that you fly across the country to see him/her tomorrow. What would you do?,See the client,Tell my boss 'no',Negotiate - get boss to pay for a better getaway,"Leave it up to my parter, putting the onus on them"
Do you believe that it is your duty to educate people who don't share your religious beliefs?,Yes.,No.,,
"Do wild places such as mountains, rivers and forests call out to you?",Yes.,No.,,
"Imagine you discover that your 'happily married' best friend has a profile on a dating site, listing them as single and looking.  What would you do?",Inform his/her spouse.,Confront him/her privately.,Offer him/her support.,"Nothing, it's none of my business."
"As an adult, have you ever worn a leash and collar in public?",Yes.,No.,,
Could you live the rest of your life without drinking alcohol?,Yes.,No.,,
